Currency,Strike,Total_GEX,Total_Abs_Gamma,Daily_Call_Settle,Daily_Call_OI,Daily_Put_Settle,Daily_Put_OI,Global_Call_OI,Global_Put_OI,R68_High,R68_Low,R95_High,R95_Low,Global_Month,Daily_Month,Daily_Expiry,Global_Expiry,Futures_Spot,Gamma_Flip,Gamma_Flip_Status,Quality_Status,Quality_Reasons,Series_Catalog_Version,Spot_Source,Spot_Reference_Month,Spot_Month_Sources,Spot_Observed_Values,Spot_Fallback_Details,IV_Source,IV_Expiry,IV_DTE,IV_Input_Rows,IV_Reference_Strike,IV_Fallback_Reason,Input_Rows,Used_Rows,Excluded_Unknown_Rows,Excluded_Unresolved_Expiry_Rows,Excluded_Expired_Rows,Unknown_Option_Types,Estimated_Expiry_Types,Anomaly_Status,Anomaly_Codes,Anomaly_Details,Anomaly_Baseline_Date
BTC,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70044.0848810462,67095.9151189538,71518.16976209241,65621.83023790759,AUG26,AUG26,2026-08-28,2026-08-28,68570.0,63788.287909991646,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;NOV26=SERIES_FORWARD_CLUSTER,AUG26=68570;SEP26=68835;DEC26=82987.5;OCT26=53195;MAR27=86895;NOV26=71610,DEC26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;OCT26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;MAR27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-28,6,79,0.0,NONE,225,225,0,0,0,NONE,NONE,OK,NONE,NONE,2026-08-19
BTC,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70044.0848810462,67095.9151189538,71518.16976209241,65621.83023790759,AUG26,AUG26,2026-08-28,2026-08-28,68570.0,63788.287909991646,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;NOV26=SERIES_FORWARD_CLUSTER,AUG26=68570;SEP26=68835;DEC26=82987.5;OCT26=53195;MAR27=86895;NOV26=71610,DEC26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;OCT26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;MAR27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-28,6,79,0.0,NONE,225,225,0,0,0,NONE,NONE,OK,NONE,NONE,2026-08-19
BTC,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70044.0848810462,67095.9151189538,71518.16976209241,65621.83023790759,AUG26,AUG26,2026-08-28,2026-08-28,68570.0,63788.287909991646,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;NOV26=SERIES_FORWARD_CLUSTER,AUG26=68570;SEP26=68835;DEC26=82987.5;OCT26=53195;MAR27=86895;NOV26=71610,DEC26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;OCT26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;MAR27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-28,6,79,0.0,NONE,225,225,0,0,0,NONE,NONE,OK,NONE,NONE,2026-08-19
BTC,32500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70044.0848810462,67095.9151189538,71518.16976209241,65621.83023790759,AUG26,AUG26,2026-08-28,2026-08-28,68570.0,63788.287909991646,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;NOV26=SERIES_FORWARD_CLUSTER,AUG26=68570;SEP26=68835;DEC26=82987.5;OCT26=53195;MAR27=86895;NOV26=71610,DEC26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;OCT26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;MAR27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-28,6,79,0.0,NONE,225,225,0,0,0,NONE,NONE,OK,NONE,NONE,2026-08-19
BTC,35000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70044.0848810462,67095.9151189538,71518.16976209241,65621.83023790759,AUG26,AUG26,2026-08-28,2026-08-28,68570.0,63788.287909991646,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;NOV26=SERIES_FORWARD_CLUSTER,AUG26=68570;SEP26=68835;DEC26=82987.5;OCT26=53195;MAR27=86895;NOV26=71610,DEC26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;OCT26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;MAR27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-28,6,79,0.0,NONE,225,225,0,0,0,NONE,NONE,OK,NONE,NONE,2026-08-19
BTC,37500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70044.0848810462,67095.9151189538,71518.16976209241,65621.83023790759,AUG26,AUG26,2026-08-28,2026-08-28,68570.0,63788.287909991646,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;NOV26=SERIES_FORWARD_CLUSTER,AUG26=68570;SEP26=68835;DEC26=82987.5;OCT26=53195;MAR27=86895;NOV26=71610,DEC26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;OCT26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;MAR27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-28,6,79,0.0,NONE,225,225,0,0,0,NONE,NONE,OK,NONE,NONE,2026-08-19
BTC,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70044.0848810462,67095.9151189538,71518.16976209241,65621.83023790759,AUG26,AUG26,2026-08-28,2026-08-28,68570.0,63788.287909991646,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;NOV26=SERIES_FORWARD_CLUSTER,AUG26=68570;SEP26=68835;DEC26=82987.5;OCT26=53195;MAR27=86895;NOV26=71610,DEC26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;OCT26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;MAR27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-28,6,79,0.0,NONE,225,225,0,0,0,NONE,NONE,OK,NONE,NONE,2026-08-19
BTC,42500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70044.0848810462,67095.9151189538,71518.16976209241,65621.83023790759,AUG26,AUG26,2026-08-28,2026-08-28,68570.0,63788.287909991646,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;NOV26=SERIES_FORWARD_CLUSTER,AUG26=68570;SEP26=68835;DEC26=82987.5;OCT26=53195;MAR27=86895;NOV26=71610,DEC26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;OCT26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;MAR27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-28,6,79,0.0,NONE,225,225,0,0,0,NONE,NONE,OK,NONE,NONE,2026-08-19
BTC,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70044.0848810462,67095.9151189538,71518.16976209241,65621.83023790759,AUG26,AUG26,2026-08-28,2026-08-28,68570.0,63788.287909991646,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;NOV26=SERIES_FORWARD_CLUSTER,AUG26=68570;SEP26=68835;DEC26=82987.5;OCT26=53195;MAR27=86895;NOV26=71610,DEC26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;OCT26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;MAR27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-28,6,79,0.0,NONE,225,225,0,0,0,NONE,NONE,OK,NONE,NONE,2026-08-19
BTC,47500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70044.0848810462,67095.9151189538,71518.16976209241,65621.83023790759,AUG26,AUG26,2026-08-28,2026-08-28,68570.0,63788.287909991646,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;NOV26=SERIES_FORWARD_CLUSTER,AUG26=68570;SEP26=68835;DEC26=82987.5;OCT26=53195;MAR27=86895;NOV26=71610,DEC26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;OCT26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;MAR27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-28,6,79,0.0,NONE,225,225,0,0,0,NONE,NONE,OK,NONE,NONE,2026-08-19
BTC,48500.0,-4125.825692099058,8.756072875283821e-05,0.0,0.0,0.0,0.0,0.0,0.0,70044.0848810462,67095.9151189538,71518.16976209241,65621.83023790759,AUG26,AUG26,2026-08-28,2026-08-28,68570.0,63788.287909991646,FOUND,DEGRADED,SPOT_MONTH_FALLBACK,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;NOV26=SERIES_FORWARD_CLUSTER,AUG26=68570;SEP26=68835;DEC26=82987.5;OCT26=53195;MAR27=86895;NOV26=71610,DEC26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;OCT26=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;MAR27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-28,6,79,0.0,NONE,225,225,0,0,0,NONE,NONE,OK,NONE,NONE,2026-08-19
